Nc1c(cccc1CC)CC	L6J A2 BZ C2
C(=O)(c1cc(ccc1)Br)O	L6J BVQ FE
N(c1ccc(cc1)Br)(C)C	L6J BN1&1 EE
Nc1cccc(c1)CC	L6J BZ D2
C(=O)c1cc(ccc1)Cl	L6J BV FG
C(=O)(c1cc(ccc1)NC(=O)C)O	L6J BVQ FMV1
C(=NNc1ccccc1)c1ccccc1	L6J BMNU1- BL6J
C(=NN=Cc1ccccc1)c1ccccc1	L6J B1UNNU1- BL6J
N(c1ccccc1)CC=C	L6J BM2U1
Nc1ccc(cc1)CC	L6J BZ E2
Nc1cccc(c1)Br	L6J BZ DE
N(c1ccc(cc1)C(=C1C=C/C(=NC)/C=C1)c1ccc(cc1)N(C)C)(C)C.Cl	L6J BN1&1 EY- BL6J EN1&1&U- BL6 CU FUTJ EUN1 &GH
C(=O)(c1cccc(c1C)C)O	L6J BVQ C1 D1
Nc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]	L6J AKW BZ CKW
c1(cccc(c1Cl)N)Cl	L6J BG CG DZ
c1ccc(c(c1Cl)N)Cl	L6J CG DZ EG
C(=O)(c1c(cccc1)N(C)C)O	L6J AN1&1 BVQ
O=C(O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1	L6J AKW BVQ EKW
C(=O)(c1cc(ccc1Br)Br)O	L6J BVQ CE FE
C(=O)(c1cc(ccc1C)C)O	L6J BVQ C1 F1
C(=O)(c1ccc(cc1Br)Br)O	L6J BVQ CE EE
C(=O)(c1ccc(cc1C)C)O	L6J BVQ C1 E1
C(=O)(c1ccc(cc1)C(=O)c1ccccc1)O	L6J BVQ EV- BL6J
C(=O)(c1ccccc1CO)O	L6J BVQ C1Q
N(c1c(cccc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]	L6J AKW BM- BL6J EKW
c1cccc(c1)N(CCCC)CCCC	L6J DN4&4
C(=O)c1c(cccc1)OCC	L6J AO2 BV
c1ccc(c(c1)N)Br	L6J DZ EE
c1ccc(c(c1)N)I	L6J DZ EI
c1c(cc(c(c1)N)Br)Br	L6J AE DZ EE
C(=O)(c1cc(c(cc1)O)[N+](=O)[O-])O	L6J BVQ EQ FKW
Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]	L6J BZ DKW FKW
C(=O)(c1cc(c(cc1)C)C)O	L6J BVQ E1 F1
C(=O)(c1cc(c(cc1)N)N)O	L6J BVQ EZ FZ
C(=O)(c1ccc(cc1)I)O	L6J BVQ EI
C(=O)(c1ccc(cc1)CC)O	L6J BVQ E2
C(=O)(c1ccc(cc1)C#N)O	L6J BVQ E1UUN
C(=O)(c1ccc(cc1)C=O)O	L6J BVQ EV
C(=O)(c1ccc(cc1)NN)O	L6J BVQ EMZ
C(=O)(c1ccc(cc1)OCC)O	L6J BVQ EO2
C(=O)(c1cccc(c1)OCC)O	L6J BVQ DO2
N(=C(Cl)Cl)c1ccccc1	L6J BNUYGG
c1cccc(c1)NCCC	L6J DM3
c1(cccc(c1)N)I	L6J BI DZ
Nc1cc(cc(c1)Cl)Cl	L6J BZ DG FG
C1(=C(c2ccc(cc2)N)/c2ccc(c(c2)C)N)/C=CC(=N)C=C1.Cl	L6J BY- BL6J D1 EZ&U- BL6 CU FUTJ EUM& EZ &GH
Nc1c(c(c(cc1)Cl)Cl)Cl	L6J AG BZ EG FG
Nc1cc(c(c(c1)Cl)Cl)Cl	L6J BZ DG EG FG
Nc1c(cc(cc1Cl)Cl)Cl	L6J AG BZ CG EG
Nc1cc(c(cc1Cl)Cl)Cl	L6J BZ CG EG FG
c1ccc(c(c1)C(C)C)N	L6J DY1&1 EZ
C(=O)c1ccc(cc1)OC(F)(F)F	L6J BV EOXFFF
Nc1ccc(cc1)N=O	L6J BZ ENUO
Nc1ccccc1.FB(F)F	L6J BZ &FBFF
S(Sc1ccc(N)cc1)c1ccc(N)cc1	L6J BSS- BL6J EZ& EZ
C(=O)(c1c(cccc1)COc1ccccc1)O	L6J A1O- BL6J& BVQ
C(=O)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)O	L6J BVQ DXFFF FXFFF
Nc1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-]	L6J BZ ENUN- BL6J EKW
c1ccc(cc1)NC(C)C	L6J EMY1&1
Nc1ccc(cc1)C(C)(C)C	L6J BZ EX1&1&1
c1(F)c(F)c(O)c(c(c1F)F)F	L6J AF BF CF DF EF FQ
c1c(ccc(c1)O)OC(F)(F)F	L6J AOXFFF DQ
Nc1cc(ccc1)OC(C(F)F)(F)F	L6J BZ FOXFFYFF
N(=Cc1ccc(cc1)OC)c1ccccc1	L6J B1UN- BL6J& EO1
ON=Cc1ccccc1	L6J B1UNQ
c1(cc(ccc1)Cl)C(=O)OO	L6J BVOQ FG
C(=O)(c1c(cccc1)c1ccccc1)O	L6J A- BL6J& BVQ
C(=O)c1ccc(cc1)O[Si](C)(C)C	L6J BV EO-SI-1&1&1
C(=O)(c1cc(ccc1)OC(F)(F)F)O	L6J BVQ FOXFFF
C(=O)(c1ccc(cc1)C=C)O	L6J BVQ E1U1
C(=O)c1c(cccc1)O[Si](C)(C)C	L6J AO-SI-1&1&1 BV
[2H]c1c(c(c(C(=O)O)c(c1[2H])[2H])[2H])[2H]	L6J AH BH CH DH EVQ FH
N(=S=O)c1ccccc1	L6J BNUSUO
C(=O)c1ccc(cc1)Br	L6J BV EE
N(c1ccccc1)CCCC	L6J BM4
ON=Cc1ccc(cc1)[N+](=O)[O-]	L6J B1UNQ EKW
C(=O)(c1cc(cc(c1)OC)OC)O	L6J BVQ DO1 FO1
[N+](=Cc1ccccc1)(c1ccccc1)[O-]	L6J B1UKO&- BL6J &0/9
S(Sc1c(N)cccc1)c1c(N)cccc1	L6J AZ BSS- BL6J AZ
C(=O)(c1ccc(cc1)OCCCCCC)O	L6J BVQ EO6
C(=O)(c1c(cccc1)C(=O)c1c(cccc1)N)O	L6J AV- BL6J AZ& BVQ
C(=O)c1ccc(cc1)CCCC	L6J BV E4
C(=O)c1ccc(cc1)Sc1ccccc1	L6J BV ES- BL6J
N(c1ccccc1)c1ncnc2[nH]cnc12	T65 BN DN GN IMJ EM- BL6J
C(=O)(c1c(cccc1OC)OC)O	L6J AO1 BVQ CO1
C(=O)(c1c(cccc1OC)OC)O	L6J AO1 BVQ CO1
C(C(F)(F)F)(C(F)(F)F)(c1ccc(cc1)O)c1ccc(cc1)O	L6J BX- BL6J EQ&XFFFXFFF EQ
Nc1cc(ccc1)OCc1ccccc1	L6J BZ FO1- BL6J
C(=O)(c1ccc(cc1)OCc1ccccc1)O	L6J BVQ EO1- BL6J
c1cccc(c1)NC=CC=CC=Nc1ccccc1.Cl	L6J DM1U2U2UN- BL6J &GH
C(=O)(c1ccc(cc1)OCCCC)O	L6J BVQ EO4
Nc1ccc(cc1)C=C	L6J BZ E1U1
C(=O)(c1cccc(c1OC)OC)O	L6J BVQ CO1 DO1
Nc1cc(ccc1)OC(F)(F)F	L6J BZ FOXFFF
Nc1c(cccc1)OC(F)(F)F	L6J AOXFFF BZ
C(=O)(c1ccc(cc1)N=Nc1ccccc1)O	L6J BVQ ENUN- BL6J
C(=O)(c1ccc(cc1F)F)O	L6J BVQ CF EF
C(=O)(c1c(cccc1)CCc1cccs1)O	L5 CSJ B2- AL6J BVQ
C(=O)(c1c(cccc1)N=Nc1ccc(cc1)O)O	L6J ANUN- BL6J EQ& BVQ
Nc1cc(c(c(c1)C)C)C	L6J BZ D1 E1 F1
C(=O)(c1ccc(cc1)CCl)O	L6J BVQ E1G
o1c(nnc1c1ccc(N(CC)CC)cc1)c1ccc(N(CC)CC)cc1	L5 BO DNNJ A- BL6J EN2&2& C- BL6J EN2&2
Nc1cc(ccc1)SC	L6J BZ FS1
N(c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]	L6J BM- BL6J EKW& EKW
c1ccccc1NC1CCCCC1	L6J CM- BL6TJ
c1(ccccc1N)CCC	L6J B3 CZ
C(=O)(c1cc(ccc1)C#N)O	L6J BVQ F1UUN
C(=O)(c1cc(cc(c1)C(=O)NC)N)O	L6J BVQ DVM1 FZ
C(=O)(c1cc(cc(c1)[N+](=O)[O-])C(=O)NC)O	L6J BVQ DKW FVM1
c1cc(ccc1Br)N(CC)CC	L6J CE FN2&2
N(c1ccccc1)(CC1CO1)CC1CO1	L3 COTJ B1N1- BL3 COTJ&- BL6J
N(c1ccc(cc1)N=C=S)(C)C	L6J BN1&1 ENU1US
C(=NN=Cc1ccc(cc1)N(C)C)c1ccc(cc1)N(C)C	L6J B1UNNU1- BL6J EN1&1& EN1&1
C(=C1C=C/C(=N/c2ccccc2)/C=C1)(c1ccc(Nc2ccccc2)cc1)c1ccc(Nc2ccccc2)cc1.Cl	L6J BNU- EL6 CU FUTJ BUY- BL6J EM- BL6J&&- BL6J EM- BL6J &GH
C(=O)(c1ccc(cc1)Oc1ccccc1)O	L6J BVQ EO- BL6J
C(=O)(c1ccc(cc1)Oc1ccc(cc1)C(=O)O)O	L6J BVQ EO- BL6J EVQ
c1ccccc1N(CCC)CCC	L6J CN3&3
C(=O)(c1c(c(c(c(c1C)C)C)C)C)O	L6J A1 BVQ C1 D1 E1 F1
C(=O)(c1c(cccc1)Oc1ccccc1)O	L6J AO- BL6J& BVQ
C(=O)(c1c(c(c(c(c1I)C(=O)NC)I)N)I)O	L6J AI BVQ CI DVM1 EI FZ
C(=O)(c1ccc(cc1)OCCCCCCCCCCCC)O	L6J BVQ EO12
N(=P(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1	L6J BP- BL6J&- BL6J&UN- BL6J
