Z1YQ1	CC(CN)O
T-28-OV PU TU VU A&UTJ CYQ5 DQ FQ HQ JQ LQ MQ OQ P1 C&Q D&1	CCCCCC(C1C(CC(CC(CC(CC(CC(CC(C(=CC=CC=CC=CC=CC(C(OC1=O)C)O)C)O)O)O)O)O)O)O)O
BT3OTJ B C2UY	CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC=CC=CC=CC(=O)O)OC)C
T D6 I6 I-6 R6-18-66 D- D-- I-- R- 2AI- H& CO JK QO B&K&T&&TT&J J1 J1 OO1 SO1 B&1 B&1 G&O1 H&O	C[N+]1(CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)OC)O3)[N+](CCC6=CC(=C5OC)OC)(C)C)OC)C.[I-]
T C6656 1A P GN LM CUTT&&J G1 EVM- DT B565 CO EVN HVNTJ BQ D1 G1R &OVYQYQVO	CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C.C(C(C(=O)O)O)(C(=O)O)O
T66 BV EV GNJ CO1 DZ H- BT6NJ CZ DR BQ CO1 DO1& E1 FVO1	CC1=C(C(=C(N=C1C(=O)OC)C2=NC3=C(C=C2)C(=O)C(=C(C3=O)N)OC)N)C4=C(C(=C(C=C4)OC)OC)O
T3-17- BO GOV PV QUTJ EOV1 JOVY2&1 KO1 M1VH O1 NO- BT6OTJ CQ DN2&2 F1 EO- BT6OTJ DQ D1 EQ F1	CC1CC(C(C(C(CC(=O)OC(CC2C(O2)C=CC1=O)C)OC(=O)C)OC)OC3C(C(C(C(O3)C)OC4CC(C(C(O4)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O
L C666 DVT&&J BQ FYO1&VYQYQ1 M1 NQ LO- BT6OTJ DOV1 F1 EO- BT6OTJ DQ EO1F1&& EO- BT6OTJ EQ F1	CC1C(C(CC(O1)OC2C(CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)OC5CC(C(C(O5)C)OC(=O)C)OC6CC(C(C(O6)C)OC)O)O)C(C(=O)C(C(C)O)O)OC)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)OC(=O)C)(C)O)O
T56 BMVYT&J DUNQ	C1=CC=C2C(=C1)C(=C(N2)O)N=O
T6N DNTJ AYR & R DG & D1R DX1 & 1 & 1 & GH 2	CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl
T55-12- 1A Q EN IOVY OVO BUTJ KU2 M1 NQ N1Q	CC=C1CC(C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(CO)O)C
T5M CNJ DVZ ENUNN1&1	CN(C)N=NC1=C(NC=N1)C(=O)N
T5OJ BNW E1UN- AT5NVMV EHJ	C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-]
T66 BO EVJ CR CQ DQ& GQ IQ DO- BT6OTJ CQ DQ EQ F1	CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
QYR&YR&UNQ	C1=CC=C(C=C1)C(C(=NO)C2=CC=CC=C2)O
SUYZMNUY1&R DG	CC(=NNC(=S)N)C1=CC=C(C=C1)Cl
SUYZMNU1R BQ	C1=CC=C(C(=C1)C=NNC(=S)N)O
WNR D1U1VH	C1=CC(=CC=C1C=CC=O)[N+](=O)[O-]
ZVMNU1R BQ	C1=CC=C(C(=C1)C=NNC(=O)N)O
1VOY6 & 2U8VO2O1	CCCCCCC(CC=CCCCCCCCC(=O)OCCOC)OC(=O)C
9U2YOV1&5VO1	CCCCCCC(CC=CCCCCCCCC(=O)OC)OC(=O)C
G2OV1U1VO2G	C(CCl)OC(=O)C=CC(=O)OCCCl
QR DNUNR	C1=CC=C(C=C1)N=NC2=CC=C(C=C2)O
T6N DOTJ A2U1O5	CCCCCOC=CCN1CCOCC1
SUYZMNU1R DQ	C1=CC(=CC=C1C=NNC(=S)N)O
ZMYUS&MVR DQ	C1=CC(=CC=C1C=NNC(=S)N)O
VHY2&U4	CCCC=C(CC)C=O
1U2OV1U1VO2U1	C=CCOC(=O)C=CC(=O)OCC=C
QNU1R BQ DQ	C1=CC(=C(C=C1O)O)C=NO
T5OJ BYUNQYUNQ- BT5OJ	C1=COC(=C1)C(=NO)C(=NO)C2=CC=CO2
2U1R CQ DO2	CCOC1=C(C=C(C=C1)C=CC)O
2U1VO1U1	CC=CC(=O)OC=C
2U1O2	CCOC=CC
L C666 BV IVJ DZ GM- DL C666 BV IVJ GZ	C1=CC=C2C(=C1)C(=C3C(=CC=C(C3=C2O)N=C4C=CC(=N)C5=C4C(=O)C6=CC=CC=C6C5=O)N)O
1U2U1O1	COC=CC=C
T56 BO DO CHJ G1U1NW	C1OC2=C(O1)C=C(C=C2)C=C[N+](=O)[O-]
NC2U2CN	C(C=CCC#N)C#N
ZVMVY2&U2	CCC(=CC)C(=O)NC(=O)N
1Y1&1V1U1R	CC(C)CC(=O)C=CC1=CC=CC=C1
G1U2OV1U1	C=CC(=O)OCC=CCl
T3OTJ B1OV8U9	CCCCCCCCC=CCCCCCCCC(=O)OCC1CO1
T56 BO DO CHJ G1U2Q	C1OC2=C(O1)C=C(C=C2)C=CCO
1VO2U1OV1	CC(=O)OCC=COC(=O)C
QNU2UNQ	C(=NO)C=NO
1U2OV1YVO2U1&U1VO2U1	C=CCOC(=O)CC(=CC(=O)OCC=C)C(=O)OCC=C
2OYO2&1U1O2	CCOC=CC(OCC)OCC
VHO2UY1&3UY1&1 -T	CC(=CCCC(=CCOC=O)C)C
VHO2U1R	C1=CC=C(C=C1)C=CCOC=O
VHYU1R	CC(=CC1=CC=CC=C1)C=O
L6 G666 R6 B6 V6 E&6 U6 4ABVW K& MV K&VJ DQ B&Q	C1=CC=C2C(=C1)C3=CC(=C4C5=C(C=CC(=C35)C2=O)C6=C7C4=C(C=C8C7=C(C=C6)C(=O)C9=CC=CC=C98)O)O
L C666 BV IVJ DMVR& GM- DL C666 BV IVJ KMVR	C1=CC=C(C=C1)C(=O)NC2=C3C(=C(C=C2)NC4=CC=CC5=C4C(=O)C6=C(C5=O)C(=CC=C6)NC(=O)C7=CC=CC=C7)C(=O)C8=CC=CC=C8C3=O
E2U2E	C(C=CCBr)Br
F2U1VO2	CCOC(=O)C=CCF
QV2U3	CCC=CCC(=O)O
T56 BMJ D1U1VQ	C1=CC=C2C(=C1)C(=CN2)C=CC(=O)O
3VO2U1R	CCCC(=O)OCC=CC1=CC=CC=C1
QMV1U1R	C1=CC=C(C=C1)C=CC(=O)NO
1OVY1&U1VO1	CC(=CC(=O)OC)C(=O)OC
T5N CO AUTJ B8U9	CCCCCCCCC=CCCCCCCCC1=NCCO1
T66 BOVJ E1 IQ JQ	CC1=CC(=O)OC2=C1C=CC(=C2O)O
2VO2U1R	CCC(=O)OCC=CC1=CC=CC=C1
1OV1UY1&OPO&O1&O1	CC(=CC(=O)OC)OP(=O)(OC)OC
QNU1R DQ CI EI	C1=C(C=C(C(=C1I)O)I)C=NO
T6NJ DY1&UNMYZUS	CC(=NNC(=S)N)C1=CC=NC=C1
GYR&U1G	C1=CC=C(C=C1)C(=CCl)Cl
T5OJ BNW E1U1V1	CC(=O)C=CC1=CC=C(O1)[N+](=O)[O-]
2U1V1	CC=CC(=O)C
2U2R	CC=CCC1=CC=CC=C1
WS3&1U1SW3 -T	CCCS(=O)(=O)C=CS(=O)(=O)CCC
1Y1&OV1U1VOY1&1	CC(C)OC(=O)C=CC(=O)OC(C)C
L-12-U EU IUTJ -Z,E	C1CC=CCCC=CCCC=C1
T6N DOTJ AYVR D1&U1VR D1	CC1=CC=C(C=C1)C(=O)C=C(C(=O)C2=CC=C(C=C2)C)N3CCOCC3
1OR DYMQ1YUNQ1U1R DO1	COC1=CC=C(C=C1)C=CC(=NO)CC(C2=CC=C(C=C2)OC)NO
7U1VO1	CCCCCCC=CC(=O)OC
T B6566 B6/CO 4ABBC R BX HO PN DU GHT&&TTJ FQ JO1 P1	CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O
L6VYJ BU2U2U1R BQ DQ& EQ	C1=CC(=C(C=C1O)O)C=CC=CC=C2C=CC(=O)C=C2O
9U8V1V1	CCCCCCCCC=CCCCCCCCC(=O)CC(=O)C
T56 BMJ D1UN2Q	C1=CC=C2C(=C1)C(=CN2)C=NCCO
QV1U1R DN2F2F	C1=CC(=CC=C1C=CC(=O)O)N(CCF)CCF
L C666 BV IVJ DM- DL C666 BV IVJ GM- DL C666 BV IVJ	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)NC4=C5C(=C(C=C4)NC6=CC=CC7=C6C(=O)C8=CC=CC=C8C7=O)C(=O)C9=CC=CC=C9C5=O
T6NJ D1U1VO1	COC(=O)C=CC1=CC=NC=C1
2OVYCN&U2U1R	CCOC(=O)C(=CC=CC1=CC=CC=C1)C#N
QNU1R CI DQ EO1	COC1=C(C(=CC(=C1)C=NO)I)O
T56 BMJ D1UN2O2	CCOCCN=CC1=CNC2=CC=CC=C21
T-28-OV RU TU VU A&U C&UTJ CYQ5 DQ FQ HQ JQ LQ NQ OQ PQ R1 E&Q F&1	CCCCCC(C1C(CC(CC(CC(CC(CC(C(C(C(=CC=CC=CC=CC=CC(C(OC1=O)C)O)C)O)O)O)O)O)O)O)O)O
T6KJ A1 B1UNQ &G	C[N+]1=CC=CC=C1C=NO.[Cl-]
T56 BM DN FN HNJ IG	C1=NC2=C(N1)C(=NC=N2)Cl
ZR DNUNR DQ	C1=CC(=CC=C1N)N=NC2=CC=C(C=C2)O
T B656 EN HMJ F1 KO1 & GH	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC.Cl
T6NJ BSWMR DNUNR DQ CVQ	C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O
GR DMYUM&MYUM&MY1&1 &GH	CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl.Cl
ZMV1UNN	C(C(=O)NN)NC(=O)C=[N+]=[N-]
QR B1UNR DE	C1=CC=C(C(=C1)C=NC2=CC=C(C=C2)Br)O
T56 BM GN INJ FM1R& H1	CC1=NC2=C(C=CN2)C(=N1)NCC3=CC=CC=C3
T66 BNJ BO EMQ	C1=CC=C2C(=C1)C(=NO)C=CN2O
QNUY17&R DG	CCCCCCCCCCCCCCCCCC(=NO)C1=CC=C(C=C1)Cl
T56 BS FY&TJ FUNQ	C1CC2=C(C=CS2)C(=NO)C1
WNNUYZNNO&2R	C1=CC=C(C=C1)CCN(C(=N)N[N+](=O)[O-])N=O
T56 BMJ D1UN- CT6NJ	C1=CC=C2C(=C1)C(=CN2)C=NC3=CN=CC=C3
T56 BMJ D1UN- DT6NJ	C1=CC=C2C(=C1)C(=CN2)C=NC3=CC=NC=C3
L C666 BV IVJ DMVR& GM- DL C666 BV IVJ GMVR	C1=CC=C(C=C1)C(=O)NC2=C3C(=C(C=C2)NC4=C5C(=C(C=C4)NC(=O)C6=CC=CC=C6)C(=O)C7=CC=CC=C7C5=O)C(=O)C8=CC=CC=C8C3=O
SUYZMNUY2&1	CCC(=NNC(=S)N)C
ON1&UN1OV1	CC(=O)OCN=[N+](C)[O-]
T55-12- 1A Q EK IOVY OVO BUTJ DQ E1 KU2 M1 NQ N1	CC=C1CC(C(C(=O)OCC2=CCN(CCC(C2=O)OC1=O)C)(C)O)C
ZV1U1VQ	C(=CC(=O)O)C(=O)N
9U8VO1-C	CCCCCCCCC=CCCCCCCCC(=O)OC
1U2U2U1	C=CC=CC=C
T5N CN AUTJ B8U9 C2Q	CCCCCCCCC=CCCCCCCCC1=NCCN1CCO
E2U1VO1	COC(=O)C=CCBr
R2OV1U1R	C1=CC=C(C=C1)CCOC(=O)C=CC2=CC=CC=C2
G1YGU1G	C(C(=CCl)Cl)Cl
ZVMNUY1&R	CC(=NNC(=O)N)C1=CC=CC=C1
T C666 BN DMVMV INJ	C1=CC=C2C(=C1)N=C3C(=N2)NC(=O)NC3=O
1Y&1OV1 2U	CC(C)COC(=O)C=CC(=O)OCC(C)C
WNR D1UNQ	C1=CC(=CC=C1C=NO)[N+](=O)[O-]
T55 AN CUTJ D1OVXQYQ1&XQ1&1 FOVY1&U2	CC=C(C)C(=O)OC1CCN2C1C(=CC2)COC(=O)C(C(C)O)(C(C)(C)O)O
QR B1UN2NU1R BQ	C1=CC=C(C(=C1)C=NCCN=CC2=CC=CC=C2O)O
T56 BN DSJ C1U1R DN1&1	CN(C)C1=CC=C(C=C1)C=CC2=NC3=CC=CC=C3S2
QR D1UYNU1&YNU1&U1R DQ	[C-]#[N+]C(=CC1=CC=C(C=C1)O)C(=CC2=CC=C(C=C2)O)[N+]#[C-]
WNR CNW DMNUY1&R	CC(=NNC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-])C2=CC=CC=C2
T566 1A L CO FVJ GQ HY1&1 K1 L- LT566 1A L CO FVJ GQ HY1&1 K1	CC1=CC2=C(C(=C(C3=COC(=C23)C1=C4C(=CC5=C(C(=O)C(=O)C6=COC4=C56)C(C)C)C)O)O)C(C)C
T C6656 1A P GN LM CUTT & & J EVMY1 & 1Q G1 & OV1U1VO	CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=CC(=O)O)C(=O)O
QR D1UNN1&1	CN(C)N=CC1=CC=C(C=C1)O
V1 WQ A&1 E&1 E1UN- AT6N DNTJ D1	CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C
T66 BVO GO JV&TJ D1U2 H1 IQ	CC=CC1=CC2=C(C(=O)C(C(O2)C)O)C(=O)O1
O1 A&1	CCN(CC)C(=O)COC1=C2C3=C(C(=C1)NC(=O)C(=CC=CC(C(C(C(C(C(C(C(C=COC4(C(=O)C2=C(O4)C(=C3O)C)C)OC)C)OC(=O)C)C)O)C)O)C)C)O
T-24-5 B6 C6 A D E 2BC G& AV GMV WO B&O IU KU UU A&HT&&&J DO1VN2&2 I1 M1 NQ O1 PQ Q1 ROV1 S1 T	CCN(CC)C(=O)COC1=C2C3=C(C(=C1)NC(=O)C(=CC=CC(C(C(C(C(C(C(C(C=COC4(C(=O)C2=C(O4)C(=C3O)C)C)OC)C)OC(=O)C)C)O)C)O)C)C)O
T6NJ B1UNMYZUS	C1=CC=NC(=C1)C=NNC(=S)N
RVYEU1R	C1=CC=C(C=C1)C=C(C(=O)C2=CC=CC=C2)Br
L C676&T&J BO- DT6NTJ A1	CN1CCC(CC1)OC2C3=CC=CC=C3CCC4=CC=CC=C24.C(=CC(=O)O)C(=O)O
T C576 BVN EY IMTT&J EU2 HO1 LQ MO1	CC=C1CC2C(NC3=CC(=C(C=C3C(=O)N2C1)OC)O)OC
T56 BN DOJ CR BQ& HG	C1=CC=C(C(=C1)C2=NC3=C(O2)C=CC(=C3)Cl)O
T5MV DS EY CHJ A1 EU1VO2 C- AT6NTJ	CCOC(=O)C=C1N(C(=O)C(S1)N2CCCCC2)C
9U8VO2O1-C	CCCCCCCCC=CCCCCCCCC(=O)OCCOC
T56 BO DO CHJ G2V1	CC(=O)C=CC1=CC2=C(C=C1)OCO2
T5N CO AUTJ B8U2U7 D1	CCCCCCC=CC=CCCCCCCCC1=NCC(O1)C
T5O COTJ B1U2 D1	CC=CC1OCC(O1)C
T6-36- A AO RVO A&U C&U E&U G&U I&U K&U M&UTJ CVQ DQ FQ HQ JQ KQ NQ PQ T1 U1 VQ W1 O&O- BT6OTJ	CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
T5MN DNJ CNU1R BG DG	C1=CC(=C(C=C1Cl)Cl)C=NC2=NC=NN2
T5OJ BNW E1UNMVZ	C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N
T5OJ BNW E1UNMYZUS	C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=S)N
2K2&2&2O 3 B CR &I &I &I &2/18 &2/21 &2/24	CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC.[I-]
T D3556 J5 K 2AF N EOXVO MVO DH & TTTTJ A1 BQ KY1 & U1	CC(=C)C1C2C3C4(C(C1C(=O)O2)(CC5C4(O5)C(=O)O3)O)C.CC12C3C4C(C(C1(CC5C2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O
WNY1&VM1U1VQ	CO[N+](=CC(=O)NC=CC(=O)O)[O-]
QVR CVQ	C1=CC(=CC(=C1)C(=O)O)C(=O)O
T5M CNJ DVZ ENUNM1	CN=NNC1=C(NC=N1)C(=O)N
T6KJ A1 B1UNQ &Q &I	C[N+]1=CC=CC=C1C=NO.[I-]
WSQR DQ CNUNR BQ DN2&2	CCN(CC)C1=CC(=C(C=C1)N=NC2=C(C=CC(=C2)S(=O)(=O)O)O)O
QVYZ1SYGU1G -L	C(C(C(=O)O)N)SC(=CCl)Cl
T66 BKJ B1 C1U1R DZ& HMVR DMV1 &OV1	CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)[N+](=C(C=C3)C=CC4=CC=C(C=C4)N)C
T C666 BN ISJ B3N1&1 EV1 &OV1U1VO	CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C.C(=CC(=O)O)C(=O)O
SUYZMNU1R DQ CO1	COC1=C(C=CC(=C1)C=NNC(=S)N)O
WSQR BQ EG CNUNR BQ DQ	C1=CC(=C(C=C1O)O)N=NC2=C(C(=CC(=C2)Cl)S(=O)(=O)O)O
T5MNJ CNUNN4&1 DVZ	CCCCN(C)N=NC1=C(C=NN1)C(=O)N
T6KJ A1 DYMQCN &I	C[N+]1=CC=C(C=C1)C(=NO)C#N.[I-]
T56 BVNVJ CY1VO1&1V1UNN	COC(=O)CC(CC(=O)C=[N+]=[N-])N1C(=O)C2=CC=CC=C2C1=O
T66 BNJ JQ C1U1- BT6NJ A1 &G	C[N+]1=CC=CC=C1C=CC2=NC3=C(C=CC=C3O)C=C2.[Cl-]
QV2Y1&UNMYZUM &GH	CC(=NN=C(N)N)CCC(=O)O.Cl
QR DYQY1&MY1&2R &GH	CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O.Cl
T56 BNYSJ B2 CU2U2U1- CT56 BK DSJ B2 &I	CCN1C2=CC=CC=C2SC1=CC=CC=CC3=[N+](C4=CC=CC=C4S3)CC.[I-]
RVO2U1R	C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2
T5NTJ AY1&U1VO1	CC(=CC(=O)OC)N1CCCC1
T6NJ CY1&UNQ	CC(=NO)C1=CN=CC=C1
SUYZMNU1R	C1=CC=C(C=C1)C=NNC(=S)N
WNR D1UNMYZUS	C1=CC(=CC=C1C=NNC(=S)N)[N+](=O)[O-]
SUYZMNUY1&R	CC(=NNC(=S)N)C1=CC=CC=C1
G2U3O1	COCCC=CCCl
5Y1&UY1&R CO1 EO1	CCCCCC(=C(C)C1=CC(=CC(=C1)OC)OC)C
L66J BNUNR DNUNR&& CQ	C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O
L66J BNUNR B1 D1& CQ	CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)C
L66J BNUNR B1& CQ	CC1=CC=CC=C1N=NC2=C(C=CC3=CC=CC=C32)O
ZVONU1R DG	C1=CC(=CC=C1C=NOC(=O)N)Cl
L66J BNUNR& CQ	C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O
2U1VMR COVMY1&1	CC=CC(=O)NC1=CC(=CC=C1)OC(=O)NC(C)C
QMV1U2U2	CC=CC=CC(=O)NO
T6NJ B1U1- BT5OJ	C1=CC=NC(=C1)C=CC2=CC=CO2
L66J BNUNR B1 DNUNR B1&& CQ	CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O)C
GR DMY1&U1VO2	CCOC(=O)C=C(C)NC1=CC=C(C=C1)Cl
L55 A CYTJ A1 A1 B1 CUNQ	CC1(C2CCC1(C(=NO)C2)C)C
T7NTJ ANU1R BQ	C1CCCN(CC1)N=CC2=CC=CC=C2O
2U1VMR COVMX1&1&1	CC=CC(=O)NC1=CC(=CC=C1)OC(=O)NC(C)(C)C
T5M CNJ DVZ ENUNN2G2G	C1=NC(=C(N1)C(=O)N)N=NN(CCCl)CCCl
T5N CO AUTJ B8U9 D1	CCCCCCCCC=CCCCCCCCC1=NCC(O1)C
L56 BYJ B1UR DN1&NO	CN(C1=CC=C(C=C1)C=C2C=CC3=CC=CC=C32)N=O
T56 BO DO CHJ G2V1	CC(=O)C=CC1=CC2=C(C=C1)OCO2
2U1VOV1U2	CC=CC(=O)OC(=O)C=CC
1VNQR D1U1R	CC(=O)N(C1=CC=C(C=C1)C=CC2=CC=CC=C2)O
ZV1MV1UNN	C(C(=O)N)NC(=O)C=[N+]=[N-]
T5MVYO EHJ CU1R& E1 E1	CC1(NC(=O)C(O1)C=CC2=CC=CC=C2)C
T6NJ CVZ D1U1R	C1=CC=C(C=C1)C=CC2=C(C=NC=C2)C(=O)N
QR BG DNUNR	C1=CC=C(C=C1)N=NC2=CC(=C(C=C2)O)Cl
ZV1U1R CO1 DO1 EO1	COC1=CC(=CC(=C1OC)OC)C=CC(=O)N
QXR&R&1U1R	C1=CC=C(C=C1)C=CC(C2=CC=CC=C2)(C3=CC=CC=C3)O
1YR&UNN1&1	CC(=NN(C)C)C1=CC=CC=C1
T7NTJ ANU1R DN2&2	CCN(CC)C1=CC=C(C=C1)C=NN2CCCCCC2
T5SYNV EHJ BUS CNU1R BQ	C1C(=O)N(C(=S)S1)N=CC2=CC=CC=C2O
T5OJ BNW E1UNNVZ1VO2	CCOC(=O)CN(C(=O)N)N=CC1=CC=C(O1)[N+](=O)[O-]
T5OJ BNW E1UN- AT5NVNTJ C2Q	C1CN(C(=O)N1CCO)N=CC2=CC=C(O2)[N+](=O)[O-]
L6TJ A-SN-Q- AL6TJ&- AL6TJ	C1CCC(CC1)[Sn](C2CCCCC2)C3CCCCC3.O
4OPQO4	CCCCO[P+](=O)OCCCC
1Y1&OPHO&OY1&1	CC(C)O[P+](=O)OC(C)C
ZVM-SE-	C(=N)(N)[Se]
1N1&1 &B-H3	[B-][N+](C)(C)C
2OPQO2	CCO[P+](=O)OCC
Q-SN-R&R&R	C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)C3=CC=CC=C3.O
Q-SN-4&4&4	CCCC[Sn](CCCC)CCCC.O
T6MTJ &WPHO1	CO[P+](=O)O.C1CCNCC1
OPH10&10	CCCCCCCCCC[P+](=O)CCCCCCCCCC
OPHR&O2	CCO[P+](=O)C1=CC=CC=C1
1M1 &BHHH	[B]N(C)C
QVYZ1OV1UNN	C(C(C(=O)O)N)OC(=O)C=[N+]=N
D6O-AL-O BDJ D1 F1 B-& BD6O-AL-O BDJ D1 F1 B-& BD6O-AL-O BDJ D1 F1	CC(=O)CC(=O)C.CC(=O)CC(=O)C.CC(=O)CC(=O)C.[Al]
QVYZ2VMY2V1UNN&VMYVQ2V1UNN	C(CC(=O)NC(CCC(=O)C=[N+]=N)C(=O)NC(CCC(=O)C=[N+]=N)C(=O)O)C(C(=O)O)N
D6O-IN-O ADJ D1 F1 B-& BD6O-IN-O ADJ D1 F1 B-& BD6O-IN-O ADJ D1 F1	CC(=O)CC(=O)C.CC(=O)CC(=O)C.CC(=O)CC(=O)C.[In]
2K2&2&1R &WNO	CC[N+](CC)(CC)CC1=CC=CC=C1.[N+](=O)(O)O
4K4&4&4 &.N-O3	CCCC[N+](CCCC)(CCCC)CCCC.[N+](=O)(O)O
1N1&R DPR DN1&1&R DN1&1 2 &.HG-G2	CN(C)C1=CC=C(C=C1)[PH+](C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)N(C)C.CN(C)C1=CC=C(C=C1)[PH+](C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)N(C)C.Cl[Hg]Cl
1SR DPR DS1&R DS1 2 &.HG-G2	CSC1=CC=C(C=C1)[PH+](C2=CC=C(C=C2)SC)C3=CC=C(C=C3)SC.CSC1=CC=C(C=C1)[PH+](C2=CC=C(C=C2)SC)C3=CC=C(C=C3)SC.Cl[Hg]Cl
GR DPR DG&R DG 2 &.HG-G2	C1=CC(=CC=C1[PH+](C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)Cl)Cl.C1=CC(=CC=C1[PH+](C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)Cl)Cl.Cl[Hg]Cl
1OR DY2& 2U	CCC(=C(CC)C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC
1R DSYVZU1R	CC1=CC=C(C=C1)SC(=CC2=CC=CC=C2)C(=O)N
T56 BN GYVT&J BY1&1 DQ GUNMVZ	CC(C)N1CC(C2=CC(=C(C=C21)O)N=NC(=O)N)O
T5MVYSYJ CUY1&R CO1 DO1 EO1& EUS	CC(=C1C(=O)NC(=S)S1)C2=CC(=C(C(=C2)OC)OC)OC
T6MVMVYVJ EUNQ	C1(=C(NC(=O)NC1=O)O)N=O
QNUYR&VR	C1=CC=C(C=C1)C(=NO)C(=O)C2=CC=CC=C2
QNU1V1	CC(=O)C=NO
1VYUNQV1	CC(=C(C(=O)C)N=O)O
1K1&1&1 &I 3	C[N+](C)(C)C.I[I-]I
QNUY1&V1	CC(=NO)C(=O)C
2N2&2MYUS&MNUY1&Y1&UNMYUS&M2N2&2	CCN(CC)CCNC(=S)NN=C(C)C(=NNC(=S)NCCN(CC)CC)C
T5NTJ A2MYUS&MNUY1&Y1&UNMYUS&M2- AT5NTJ	CC(=NNC(=S)NCCN1CCCC1)C(=NNC(=S)NCCN2CCCC2)C
T6N DNTJ A1 DYR & R & GH	CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl
1OR BQ C1UN3NU1R BQ CO1	COC1=CC=CC(=C1O)C=NCCCN=CC2=C(C(=CC=C2)OC)O
G2U2G	C(C=CCCl)Cl
T6KJ A2 B1U1R D- AT5NTJ& F1U1R D- AT5NTJ &I	CC[N+]1=C(C=CC=C1C=CC2=CC=C(C=C2)N3CCCC3)C=CC4=CC=C(C=C4)N5CCCC5.[I-]
T B566 CK ESJ C1 D1U1R DN1&1 &I	C[N+]1=C(SC2=C1C3=CC=CC=C3C=C2)C=CC4=CC=C(C=C4)N(C)C.[I-]
QNU1R BG DG	C1=CC(=C(C=C1Cl)Cl)C=NO
ZVMNU1R BG DG	C1=CC(=C(C=C1Cl)Cl)C=NNC(=O)N
1OVR BNU1Y5&U1R	CCCCCC(=CC1=CC=CC=C1)C=NC2=CC=CC=C2C(=O)OC
T56 BN DYJ DU1R DN1&1	CN(C)C1=CC=C(C=C1)C=C2C=NC3=CC=CC=C32
T66 B6 A B- C 1B I BK DN FN HNTJ B2U1G &Q &G	C1N2CN3CN1C[N+](C2)(C3)CC=CCl.[Cl-]
T56 BKJ B1 B1 C1U1MR BO1 DO1& D1 &Q &G	CC1(C2=CC=CC=C2[N+](=C1C=CNC3=C(C=C(C=C3)OC)OC)C)C.[Cl-]
