Z1YQ1	CC(CN)O
T6N CN ENJ BMY1&1 DM2 FG	CCNC1=NC(=NC(=N1)Cl)NC(C)C
T56 BM DN FN HNJ IS- ET5N CNJ A1 DNW	CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
RNUNR	C1=CC=C(C=C1)N=NC2=CC=CC=C2
T3OTJ B1OR D- 2X	CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
T6VMVMV FHJ F2 F2	CCC1(C(=O)NC(=O)NC1=O)CC
T6VMVTJ E2 E1	CCC1(CC(=O)NC(=O)C1)C
ZVR	C1=CC=C(C=C1)C(=O)N
L D6 B6666 2AB TJ	C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
ZR DVO2	CCOC(=O)C1=CC=C(C=C1)N
RVO1R	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
SCN1R	C1=CC=C(C=C1)CN=C=S
QVR BVO1R	CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2
T45 ANV ESTJ CMV1R& F F GVQ	CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
T B666 CV FOJ ER	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43
T4OVTJ	C1COC1=O
L6V DVJ BX1&1&1 EX1&1&1	CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)O
QR BG DG FSR BQ CG EG	C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl
T67 GMV JN IHJ CE K- BT6NJ	C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
WNXE1Q1Q	C(C(CO)([N+](=O)[O-])Br)O
WS1&O4OSW1	CS(=O)(=O)OCCCCOS(=O)(=O)C
T6VMVMV FHJ FY2 & 1 F2	CCC(C)C1(C(=O)NC(=O)NC1=O)CC
ZR DVO4	CCCCOC(=O)C1=CC=C(C=C1)N
Q-AS-O&1&1	C[As](=O)(C)O
T56 BN DN FNVNVJ B1 F1 H1	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
T B666 HO IHJ CQ E5 I1 I1 M1	CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O
ZVO2K1&1&1 &Q &G	C[N+](C)(C)CCOC(=O)N.[Cl-]
T C676 BNJ BVZ	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
T56 BOT&J C1 C1 IOVM1	CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C
ZVO1X3&1&1OVMY1&1	CCCC(C)(COC(=O)N)COC(=O)NC(C)C
ONN2GVM2G	C(CCl)NC(=O)N(CCCl)N=O
NCYCN&NUNR CG	C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N
NCYCN&UNMR CG	C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N
QYQXGGG	C(C(Cl)(Cl)Cl)(O)O
QV3R DN2G2G	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
T6N DNTJ AYR&R DG& D1	CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
T6VN DSWTJ B1 CR DG	CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
T66 BNJ EMY1&3N2&2 IG	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
T66 BSWM ENJ HG ISZW	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
QR DG C1 E1	CC1=CC(=CC(=C1Cl)C)O
ZVO1YQ1OR DG	C1=CC(=CC=C1OCC(COC(=O)N)O)Cl
T C666 BN ISJ B3N1&1 EG	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
GR DSWMVM3	CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
GR CMVOY1 & 1	CC(C)OC(=O)NC1=CC(=CC=C1)Cl
T56 BMVOJ HG	C1=CC2=C(C=C1Cl)NC(=O)O2
L3TJ A1 A1 BVQ C1UY1&1	CC(=CC1C(C1(C)C)C(=O)O)C
T66 BNJ EYQ- DT66 A B CNTJ A1U1	C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
T66 A B AOTJ B1 B1 F1	CC1(C2CCC(O1)(CC2)C)C
T66 BNJ GG II JQ	C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1
T67 GNV JVN IHJ CG G1 KR	CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
GR DOX1&1&VO2	CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
T C676 BN & T & J B3N1 & 1 EG	CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
T67 GMV JN IHJ CNW KR BG	C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
L E5 B666TJ AVH E1 IQ MQ F- DT5OV EHJ& OO- BT6OTJ CQ DQ EQ F1	CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O)O
T66 BOVJ DG E1 IOPS&O2&O2	CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C
QR D1	CC1=CC=C(C=C1)O
L5TJ AZ AVQ	C1CCC(C1)(C(=O)O)N
T66 BSWM EM DHJ HG ISZW D1- AL5TJ	C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl
T6MPOTJ BO BN2G2G	C1CNP(=O)(OC1)N(CCCl)CCCl
1OVR BG CG EG FG DVO1	COC(=O)C1=C(C(=C(C(=C1Cl)Cl)C(=O)OC)Cl)Cl
L C666 BV IVJ DQ NQ	C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
ZR DSWR DZ	C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
QV9	CCCCCCCCCC(=O)O
Z5NQV/2VM5NQV/ 21	CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
T67 GMV JN IHJ CG KR	C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3
L E5 B666 OV MUTJ A F FV1OV1	CC(=O)OCC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
ZY1&1R	CC(CC1=CC=CC=C1)N
ZY1&1R -D	CC(CC1=CC=CC=C1)N
T67 GNV JN IHJ CG G1 KR	CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
T6N CNJ BY1 & 1 DOPS & O2 & O2 F1	CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C
E1E	C(Br)Br
T66 BNJ CO4 EVM2N2&2	CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
4OVR BVO2	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
NCR BG FG	C1=CC(=C(C(=C1)Cl)C#N)Cl
GYGUYR DG&R DG	C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl
GXGGYR DG&R DG	C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
QR DG B1R BQ EG	C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O
GYGU1OPO&O1&O1	COP(=O)(OC)OC=C(Cl)Cl
L6TJ A- AL6TJ AVO2N2&2 &GH	CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
T E3 D5 C555 A D- FO KUTJ AG AG BG JG KG LG ENDO ENDO	C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl
QV1N1VQ2N1VQ2N1VQ1VQ	C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
L E5 B666TJ A1 E1 IQ F- DT5OV EHJ& OO- FT6OTJ B1 DQ CO- FT6OTJ B1 DQ CO- FT6OTJ B1 CQ DQ	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O
T B6566 B6/CO 4ABBC R BX HO PN GHT&&TTJ FQ JO1 P1	CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O
T66 BO EVJ CR& D1 IO1 J1N1&1	CC1=C(OC2=C(C1=O)C=CC(=C2CN(C)C)OC)C3=CC=CC=C3
SH1YSH1Q	C(C(CS)S)O
T5OVMV EHJ E1 E1	CC1(C(=O)NC(=O)O1)C
T5N CNJ A1 B1 ENW	CC1=NC=C(N1C)[N+](=O)[O-]
8M8	CCCCCCCCNCCCCCCCC
RVR	C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
T66 BN DN GN INJ CCN HCN E- AT6NTJ B2Q F2Q& J- AT6NTJ B2Q F2Q	C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
2N2 & YUS & S 2	CCN(CC)C(=S)SSC(=S)N(CC)CC
GR BG DMVN1 & 1	CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl
QVY3 & 3	CCCC(CCC)C(=O)O
T56 BMVNJ D3- DT6N CUTJ A3VR DF	C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
T56 BN DN FNVNVJ B1YQ1Q F1 H1	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
T C-16-6-16-/CE& A B C- C- 2CP E& AS CX C-S DNV GMV KOV NNV PXNV TMV A&OV D&NVTJ D1	CC1C(=O)N(C2CSC(C(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C
T D6 B656 FN LMJ C1 J1	CC1=C2C=CN=CC2=C(C3=C1NC4=CC=CC=C43)C
T55 A AOTJ CVQ DVQ	C1CC2C(C(C1O2)C(=O)O)C(=O)O
GYFXFFOYFF	C(C(OC(F)F)(F)F)(F)Cl
L F6 E6 B666 CV DUTJ A1 HVQ H1 K1 N1 O1 S1 S1 TQ -.alpha.	CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
L F6 E6 B666 CV DUTJ A1 HVQ H1 K1 N1 O1 S1 S1 TQ -BETA	CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
1Y1&1YVQMVYQYZ1R	CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O
T C6656 1A P GN LM CUTT & & J G1 EVM-DT B565 CO EVN HVNTJ BQ D1 G1R	CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C
T-14-VO GVTJ C2 DQ D1 EQ F1 H1 JQ J1 L1 N1 KO-BT6OTJ CQ DN1 & 1 F1 & MO-FT6OTJ B1 CQ DO1 D1	CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
T B576 BN DNN HN GHJ IR& LG	C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4
QV1OR BG CG DVY2&U1	CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
ZVR BO2	CCOC1=CC=CC=C1C(=O)N
2O2	CCOCC
L6TJ AOVZ A1UU1	C#CC1(CCCCC1)OC(=O)N
T5VMVTJ D2 D1	CCC1(CC(=O)NC1=O)C
