ZMSWR DOR DSWMZ	c1cc(ccc1Oc2ccc(cc2)S(=O)(=O)NN)S(=O)(=O)NN
VH1Y1&R DX1&1&1	CC(CC=O)c1ccc(cc1)C(C)(C)C
QVYE2	CCC(C(=O)O)Br
L66J BZ CSWQ	c1ccc2c(c1)ccc(c2N)S(=O)(=O)O
L C666 BV IVJ DQ GMR D1	Cc1ccc(cc1)Nc2ccc(c3c2C(=O)c4ccccc4C3=O)O
L C666 BV IVJ DM1	CNc1cccc2c1C(=O)c3ccccc3C2=O
T56 BMJ D1	Cc1c[nH]c2c1cccc2
WNR CG B1	Cc1c(cccc1Cl)[N+](=O)[O-]
L E5 B666 OV AHTTT&J A1 CQ E1 FV1Q FQ L1 &&pregna Form	C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O
L C666 BV IVJ E2	CCc1ccc2c(c1)C(=O)c3ccccc3C2=O
L6TJ AOVR BVO- AL6TJ	c1ccc(c(c1)C(=O)OC2CCCCC2)C(=O)OC3CCCCC3
10OVR BVO10	CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC
T B666 GK JK&T&J &&Br2	c1cc[n+]2c(c1)-c3cccc[n+]3CC2.[Br-].[Br-]
QR DG BVR	c1ccc(cc1)C(=O)c2cc(ccc2O)Cl
QV1R BG CG FG	c1cc(c(c(c1Cl)CC(=O)O)Cl)Cl
T56 BVOV GUTJ	C1C=CCC2C1C(=O)OC2=O
1X1&1&R BQ D1 EY3&R DQ B1 EX1&1&1	CCCC(c1cc(c(cc1C)O)C(C)(C)C)c2cc(c(cc2C)O)C(C)(C)C
2NR&VN2&R	CCN(c1ccccc1)C(=O)N(CC)c2ccccc2
L66J B1G	c1ccc2c(c1)cccc2CCl
L66J B1VQ	c1ccc2c(c1)cccc2CC(=O)O
T66 BNJ EG IG	c1cc2c(ccnc2cc1Cl)Cl
T66 BOVJ E1 IN1&1	Cc1cc(=O)oc2c1ccc(c2)N(C)C
L66J BQ DSWQ HZ	c1cc2c(cc1N)cc(cc2O)S(=O)(=O)O
2OVYVO2&U1O2	CCOC=C(C(=O)OCC)C(=O)OCC
QR BVO2Y1&1	CC(C)CCOC(=O)c1ccccc1O
T56 BVO DHJ	c1ccc2c(c1)COC2=O
T5NNJ AR& C1 EOVN1&1	Cc1cc(n(n1)c2ccccc2)OC(=O)N(C)C
ZR CG B1	Cc1c(cccc1Cl)N
ZR BG F1	Cc1cccc(c1N)Cl
Q1YQYQYQ1Q &&Xylo Form	C([C@H]([C@@H]([C@H](CO)O)O)O)O
T5SJ CVQ	c1cscc1C(=O)O
ZR BXFFF	c1ccc(c(c1)C(F)(F)F)N
ZSWR B1	Cc1ccccc1S(=O)(=O)N
ZSWR D1	Cc1ccccc1S(=O)(=O)N
ZR BSWQ	c1ccc(c(c1)N)S(=O)(=O)O
WNR DQ BXFFF	c1cc(c(cc1O)C(F)(F)F)[N+](=O)[O-]
ZR DG CSWQ	c1cc(c(cc1N)S(=O)(=O)O)Cl
ZR CG D1 FSWQ	Cc1cc(c(cc1Cl)N)S(=O)(=O)O
QVR BE	c1ccc(c(c1)C(=O)O)Br
QVR BI	c1ccc(c(c1)C(=O)O)I
QR BY1&1	CC(C)c1ccccc1O
QVR BI CI EI	c1c(cc(c(c1C(=O)O)I)I)I
L6UTJ AVQ BVQ	C1CCC(=C(C1)C(=O)O)C(=O)O
9OVR BVO9 DVO9	CCCCCCCCOC(=O)c1ccc(c(c1)C(=O)OCCCCCCCC)C(=O)OCCCCCCCC
QVR CG FVQ	c1cc(c(cc1Cl)C(=O)O)C(=O)O
WNR B1 E1	Cc1ccc(c(c1)[N+](=O)[O-])C
ZR D1 BNW	Cc1ccc(c(c1)[N+](=O)[O-])N
2-Nitro-p-toluidine	Cc1ccc(c(c1)[N+](=O)[O-])N
ZR DG BNW	c1cc(c(cc1Cl)[N+](=O)[O-])N
WNR BQ EG	c1cc(c(cc1Cl)[N+](=O)[O-])O
Z1R B1	Cc1ccccc1CN
L66J BE	c1ccc2c(c1)cccc2Br
L66J B1	Cc1cccc2c1cccc2
L66J BQ	c1ccc2c(c1)cccc2O
GXGGYR&OV1	CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl
L66J BMR	c1ccc(cc1)Nc2cccc3c2cccc3
GR DVR DG	c1cc(ccc1C(=O)c2ccc(cc2)Cl)Cl
L66TJ	C1CCC2CCCCC2C1
T66 BOVJ E1 IN2&2	CCN(CC)c1ccc2c(cc(=O)oc2c1)C
L66J B1	Cc1ccc2ccccc2c1
2N2&R	CCN(CC)c1ccccc1
1N1&2OR B1R	CN(C)CCOc1ccccc1Cc2ccccc2
1V1VMR BO1	CC(=O)CC(=O)Nc1ccccc1OC
T56 BN DSJ CR DZ& G1	Cc1ccc2c(c1)sc(n2)c3ccc(cc3)N
T66 BOVJ H1	Cc1ccc2c(c1)ccc(=O)o2
L66J CO2	COc1ccc2ccccc2c1
L66J CSWG	c1ccc2cc(ccc2c1)S(=O)(=O)Cl
T66 BNJ C1Y1&1	CC(C)Cc1ccc2ccccc2n1
L66J CO2Q	c1ccc2cc(ccc2c1)OCCO
QV1R BO1	COc1ccccc1CC(=O)O
EYR&1E	c1ccc(cc1)C(CBr)Br
VHY1&R	CC(C=O)c1ccccc1
1V1VMR B1	Cc1ccccc1NC(=O)CC(=O)C
GR BMV1V1	CC(=O)CC(=O)Nc1ccccc1Cl
G1VN2U1&2U1	C=CCN(CC=C)C(=O)CCl
T56 BO DO CHJ GVQ	c1cc2c(cc1C(=O)O)OCO2
L6TJ AVO1 DVO1	COC(=O)C1CCC(CC1)C(=O)OC
GR CG DO2OVR	c1ccc(cc1)C(=O)OCCOc2ccc(cc2Cl)Cl
L56 BHJ	c1ccc2c(c1)CC=C2
T56 BMNNJ	c1ccc2c(c1)[nH]nn2
T56 BN DOJ C1	Cc1nc2ccccc2o1
ZR DZ B1	Cc1cc(ccc1N)N
QR DQ B1	Cc1cc(ccc1O)O
QR CG DG	c1cc(c(cc1O)Cl)Cl
ZR CG F1	Cc1ccc(cc1N)Cl
ZR BZ DG	c1cc(c(cc1Cl)N)N
ZR BQ E1	Cc1ccc(c(c1)N)O
2OVVO2	CCOC(=O)C(=O)OCC
QR BG DG EG	c1c(c(cc(c1Cl)Cl)Cl)O
1UY1&VO2U1	CC(=C)C(=O)OCC=C
1Y1&N2QY1&1	CC(C)N(CCO)C(C)C
WNR DQ CVQ	c1cc(c(cc1[N+](=O)[O-])C(=O)O)O
WNR BZ ENW	c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])N
WSGR DG CNW	c1cc(c(cc1S(=O)(=O)Cl)[N+](=O)[O-])Cl
1R BMYUM&MR B1	Cc1ccccc1N/C(=N/c2ccccc2C)/N
QVY3&1	CCCC(C)C(=O)O
2OVY1&U1	CCOC(=O)C(=C)C
1Y1&VOVY1&1	CC(C)C(=O)OC(=O)C(C)C
1UY1&VO2OVY1&U1	CC(=C)C(=O)OCCOC(=O)C(=C)C
VHY2&2	CCC(CC)C=O
T5OTJ B1Q	C1CC(OC1)CO
T5OJ B1Q	c1cc(oc1)CO
T5OJ B1SH	c1cc(oc1)CS
T5SJ BVH SBW	c1cc(sc1)C=O
1X1&1&R	CC(C)(C)c1ccccc1
ZSWR	c1ccc(cc1)S(=O)(=O)N
ZR CXFFF	c1cc(cc(c1)N)C(F)(F)F
ZR BQ ESW1	CS(=O)(=O)c1ccc(c(c1)N)O
WSGR CG DG	c1cc(c(cc1S(=O)(=O)Cl)Cl)Cl
ZR BQ ESWQ	c1cc(c(cc1S(=O)(=O)O)N)O
WNR CXFFF	c1cc(cc(c1)[N+](=O)[O-])C(F)(F)F
1X1&1&R D1	Cc1ccc(cc1)C(C)(C)C
L6TJ AX1&1&1 DQ	CC(C)(C)C1CCC(CC1)O
L6VTJ DX1&1&1	CC(C)(C)C1CCC(=O)CC1
GR DXFFF	c1cc(ccc1C(F)(F)F)Cl
WSGR D1	Cc1ccc(cc1)S(=O)(=O)Cl
WSQR DG	c1cc(ccc1S(=O)(=O)O)Cl
QVR DX1&1&1	CC(C)(C)c1ccc(cc1)C(=O)O
1VR	CC(=O)c1ccccc1
L6TJ AVQ	C1CCC(CC1)C(=O)O
ZR BG FG DNW	c1c(cc(c(c1Cl)N)Cl)[N+](=O)[O-]
WNR CVQ ENW	c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)O
WNR C1 D1	Cc1ccc(cc1C)[N+](=O)[O-]
ZR B1 ENW	Cc1ccc(cc1N)[N+](=O)[O-]
WNR CZ DO1	COc1ccc(cc1N)[N+](=O)[O-]
WNR CVH	c1cc(cc(c1)[N+](=O)[O-])C=O
1Y1&R CY1&1	CC(C)c1cccc(c1)C(C)C
L6U CUTJ AY1&1 D1	CC1=CC=C(CC1)C(C)C
QR DV1	CC(=O)c1ccc(cc1)O
1N1&R D1	Cc1ccc(cc1)N(C)C
VHR DN1&1	CN(C)c1ccc(cc1)C=O
1Y1&R DY1&1	CC(C)c1ccc(cc1)C(C)C
L6UTJ D1U1	C=CC1CCC=CC1
T6NJ D1U1	C=Cc1ccncc1
L6TJ AM1	CNC1CCCCC1
T6NJ B1U1	C=Cc1ccccn1
T5O COTJ B1 B1 D1Q	CC1(OCC(O1)CO)C
T6N CN ENJ BMR BG& DG FG	c1ccc(c(c1)/N=c\2/[nH]c(nc(n2)Cl)Cl)Cl
1OR CMR	COc1cccc(c1)Nc2ccccc2
GR DMVMR CG DG	c1cc(ccc1N/C(=N/c2ccc(c(c2)Cl)Cl)/O)Cl
ZR DMR	c1ccc(cc1)Nc2ccc(cc2)N
ZR DOR DZ	c1cc(ccc1N)Oc2ccc(cc2)N
T3OTJ B1OR CO1- BT3OTJ	c1cc(cc(c1)OCC2CO2)OCC3CO3
GR DMV1V1	CC(=O)CC(=O)Nc1ccc(cc1)Cl
2Y1&MR DMY2&1	CCC(C)Nc1ccc(cc1)NC(C)CC
1V1VMR	CC(=O)C/C(=N/c1ccccc1)/O
1VOX1&1&2R	CC(=O)OC(C)(C)CCc1ccccc1
1Y1&1VO1R	CC(C)CC(=O)OCc1ccccc1
1Y1&VO3R	CC(C)C(=O)OCCCc1ccccc1
T6M DNTJ D2Q	C1CN(CCN1)CCO
QV1R DO1	COc1ccc(cc1)CC(=O)O
T5OVTJ E4	CCCCC1CCC(=O)O1
E1R D1	Cc1ccc(cc1)CBr
T5OJ B2VO1Y1&1	CC(C)COC(=O)CCc1ccco1
1Y1&U3Y1&U2OV1	CC(=CCCC(=CCOC(=O)C)C)C
ZR DE	c1cc(ccc1N)Br
VH1U1	C=CC=O
SH3	CCCS
NC1G	C(C#N)Cl
WSQ2Q	C(CS(=O)(=O)O)O
QV2G	C(CCl)C(=O)O
1VOY1&1O1	CC(COC)OC(=O)C
ZR CZ E1	Cc1cc(cc(c1)N)N
T6MVMVMVJ	c1(nc(nc(n1)O)O)O
T6N CN ENJ BQ DQ FQ	c1(nc(nc(n1)O)O)O
1Y1&1V1Y1&1	CC(C)CC(=O)CC(C)C
T6NJ CQ	c1cc(cnc1)O
T6NJ BG	c1ccnc(c1)Cl
QX1&1&2XQ1&1	CC(C)(CCC(C)(C)O)O
1X1&1&OOX1&1&1	CC(C)(C)OOC(C)(C)C
1U1VM1MV1U1	C=CC(=O)NCNC(=O)C=C
13VOY1&1	CCCCCCCCCCCCCC(=O)OC(C)C
11VO1	CCCCCCCCCCCC(=O)OC
12N1&1	CCCCCCCCCCCCN(C)C
VH9U1	C=CCCCCCCCCC=O
Q14	CCCCCCCCCCCCCCO
E16	CCCCCCCCCCCCCCCCBr
T C555  A DVNV IUTJ E1Y4&2	CCCCC(CC)CN1C(=O)C2C3CC(C2C1=O)C=C3
G2OPO&O2GO2G	C(CCl)OP(=O)(OCCCl)OCCCl
L6TJ A1 A1 CQ E1	CC1CC(CC(C1)(C)C)O
GR DSWR BG DG EG	c1cc(ccc1S(=O)(=O)c2cc(c(cc2Cl)Cl)Cl)Cl
QVY2&1	CCC(C)C(=O)O
L6 G666 R6 B6 V6 E&6 U6 4ABVW K& MV K&VJ	c1ccc2c(c1)-c3ccc4c5ccc-6c7c5c(ccc7C(=O)c8c6cccc8)c9c4c3c(cc9)C2=O
T66 BMVOVJ	c1ccc2c(c1)c(=O)oc(=O)[nH]2
L6TJ A1 A1 COVR BQ& E1	CC1CC(CC(C1)(C)C)OC(=O)c2ccccc2O
QR BVO1Y4&2	CCCCC(CC)COC(=O)c1ccccc1O
WNR BQ E1	Cc1ccc(c(c1)[N+](=O)[O-])O
1X1&1&R BQ E1 C1R BQ E1 CX1&1&1	Cc1cc(c(c(c1)C(C)(C)C)O)Cc2cc(cc(c2O)C(C)(C)C)C
