G2MV4U3U3U3U6	CHEMBL151167
ZSWO1	CHEMBL150650
ZSWO4	CHEMBL150652
Q2VM5U3U3U3U6	CHEMBL150849
G3MV4U3U3U3U6	CHEMBL151864
G1OV6	CHEMBL152236
6U3U3U3U5MV1OV1	CHEMBL151717
Z4M3M3Z	CHEMBL151993
6SW1V1	CHEMBL152577
ZSWO14	CHEMBL152907
Z2VM2VQ	CHEMBL153975
ZSWO10	CHEMBL153094
6S1V1	CHEMBL153107
ZSWO12	CHEMBL153027
ZSWO16	CHEMBL152962
ZSWO3UU1	CHEMBL152967
QMVO2	CHEMBL153081
6O1V1	CHEMBL153556
SH6	CHEMBL153339
F1V8	CHEMBL153601
E5	CHEMBL155850
E1V1VO7	CHEMBL155928
E8	CHEMBL156047
G6	CHEMBL156095
G3E	CHEMBL156560
E2	CHEMBL156378
Z2VM1VQ	CHEMBL157332
E1V8U9	CHEMBL157736
F2OSW1SW1	CHEMBL157995
Q2MV5U3U3U3U3	CHEMBL158277
G8	CHEMBL158445
G1U1G	CHEMBL157026
8V1V1	CHEMBL157196
G3G	CHEMBL157427
Q2MV10U3U3U3	CHEMBL159221
G2E	CHEMBL160255
ZM2VQ	CHEMBL159205
ZM1	CHEMBL160520
QV3MV11	CHEMBL160859
E4	CHEMBL160949
Q2O2O2OV7U5MVM5	CHEMBL3322797
Q4MV4U3U3U3U6	CHEMBL160717
ZV1F	CHEMBL160811
Q2O2O2OV7U5MVVM4	CHEMBL3322798
Q2MV8U3U3U3	CHEMBL160313
QV1MV4U3U3U3U6	CHEMBL161343
G1SWO2E	CHEMBL161281
Q2MV10U9	CHEMBL160752
Q2MV3U3U3U3U3U3U3	CHEMBL161520
Q2MV4U3U3U3U3U3	CHEMBL161521
1U1SW1	CHEMBL163849
E2OSW1SW1	CHEMBL161737
2OSW1SW1	CHEMBL161738
1MM1	CHEMBL162921
2OSWO2	CHEMBL163100
1O2UU1	CHEMBL162694
1OSWO1	CHEMBL162150
G2MVM2G	CHEMBL1331
6U3U3U2U1V3VO1	CHEMBL165682
SH3VQ	CHEMBL1076479
QV12O1	CHEMBL167340
2OV1V1	CHEMBL169176
ZV2Q	CHEMBL170341
ZSWO3OSWZ	CHEMBL170809
ZSWM4	CHEMBL170015
VHV1	CHEMBL170721
QV17U1I	CHEMBL168666
ZV2G	CHEMBL171266
Q2MV17	CHEMBL171447
