T C666 BKJ B1 EZ MZ &GH &G	[n+]1(c2c(cc3c1cc(cc3)N)ccc(c2)N)C.Cl.[Cl-]
L B5 G566J	c12c3C=CC=c3c3=CC=Cc3c1cccc2
T D6 B666 KN&TT&J	N12C(c3c(CC2)cccc3)Cc2ccccc2C1	
L E5 B666 OV MUTJ A1 E1	C1(=O)C=C2C(C3CCC4(CCCC4C3CC2)C)(CC1)C	
L C666 BV IVJ D1Q GQ KQ	C1(=O)c2c(C(=O)c3c1c(ccc3O)CO)c(ccc2)O	
L F6 E6 B666 BUTJ F1 IQ J1 J1 N1 O1 R1 U1 U1	C12C3=CCC4C5(CCC(C(C5CCC4(C3(CCC1(CCC(C2)(C)C)C)C)C)(C)C)O)C	
T C6 B566 LO&TT&J EQ FQ JQ OQ	O1CC2(C(c3c1cc(cc3)O)c1cc(c(cc1C2)O)O)O	
L566 1A LJ	c12c3C=Cc1cccc2ccc3	
L666 B6 2AB PJ	c12c3c4ccc1cccc2ccc3ccc4	
L C6665 1A PJ	c12c3c4ccccc4cc1cccc2C=C3	
T666 B6 C6 3ABC S KMJ	N1c2c3c4c5c(cc3ccc2)cccc5ccc4=C1	
L C6566 O6 U6 N5 2AO C&J	c12c3c4ccccc4c1cccc2c1c2c3cccc2c2ccccc12	
L C6666 P6 W6 O6 2AP E&-&&&TTTTJ	c12c3c4ccccc4cc1cccc2C1C2C3CCCC2CC2CCCCC12	
L666 N6 B6 R6 Q6 4ABRS C&J	c12c3c4ccc1cccc2ccc3c1ccc2c3c1c4ccc3ccc2
L F6 D6 B6 P6666 2AB E&J	c12c3c4c5cc6ccccc6cc5cc3c3ccccc3c1cccc2cc4
T G6 E6 B6666 C6 3ABC D& FN MN WHJ	n1c2c3c4c5c6c(ccc5c2nc2c1cccc2)cccc6Cc4ccc3
L D66 K666 1A U EHJ	c12c3cc4CC=CC=c4c1c1ccccc1cc2ccc3
T D6 C6666 B6 T6 5ABCDU B& MOJ	O1c2c3c4c5c1cccc5cc1c4c(c4c3c(ccc4)cc2)ccc1
L E6 C6666 T6 S6 2AT E&J	c12c3c4cc5ccccc5cc4cc1cccc2c1c2c3cccc2ccc1	
T F6 C6 B5 O6666 D6 4ABCD F& MSJ	s1c2c3c4c5c(c6c(c14)cccc6)cccc5c1c3c(c3ccccc23)ccc1
L E6 E-6 D5 C4566 2AE- WTJ	C12C3C4C5C6CCCC7CCCC(C5C4C1CCCC2CCC3)C67	
L666 B-6 B6 C6 4ABB-C U GH MHJ	c12c3c4c5cc1CC=Cc2cc1cccc(cc4ccc5)C31
L666 B-6 B6 B-&6 B6 C6 6ABBB-B-&C D& BXTJ	C123C4C5CC6C1C(CC1CCCC(CC7CCCC(CC4CCC5)C27)C31)CCC6	
L665 K6 J6 J-6 I6 H6 6AIJJJ-K D& JXTJ	C123C4C5CCCC4CC4C1C(CC1CCCC(CC6C2C5CCC6)C31)CCC4		
T E6 E-6 C6666 2AE- W CN ON CHJ	N12c3c4c(N=C2C2=CC=CC5=CC=CC(=C1)C25)cccc4ccc3
T E6 E-6 D5 C5566 2AE- A& OSJ	s1c2=C3C=CC=C4C=CC=C(c2c2C5=c6c(=c12)cccc6C=CC5)C34
T656 M6 B6 Q6 P5 4ABQR A& HN WNJ	N1=Cc2c3c4c(cc2)c2c5c(c4ccc13)ccc1c5c(N=C1)cc2	
L H6 H--6 H-6 H--&6 G6 E6 C6666 B-6 B6 7ABB-CH-H--H--& P&-TJ	C12C3C4C5C6CC7C8CCC9CCCC%10CC%11CCCC(C7CC6CC4CC1CCCC2CC1CCCC(C5)C31)C%11C8C9%10	
T66 BNJ EQ HO1 IQ D- CT6NJ EVQ	n1c2c(c(c(c1)c1cncc(c1)C(=O)O)O)cc(c(c2)O)OC
T6N DNJ B- CT6NTJ A1 EQ	n1c(cncc1)C1CN(CC(C1)O)C	
T6NTJ A1 B- BT6NJ	N1(C(CCCC1)c1ncccc1)C	
L66J C- DL66J B- AL6TJ	c12cc(ccc1cccc2)c1cc(c2c(c1)cccc2)C1CCCCC1	
T66 CNJ H- HT66 CNJ G- AL6TJ C- AL6TJ	n1cc2c(cc1)cc(cc2)c1c(c2c(cncc2)cc1)C1CC(CCC1)C1CCCCC1	
T5SJ B- CT5SJ	s1c(ccc1)c1cscc1
T6NJ BN2N1&1&1- BT5SJ EE	n1c(cccc1)N(CCN(C)C)Cc1sc(cc1)Br
T6NJ BO2N2&2 FXQR DR&&- BT5OJ	n1c(cccc1C(O)(c1ccc(cc1)c1ccccc1)c1occc1)OCCN(CC)CC	
L66J C- DL6OJ& D- DT6NJ	c12cc(c(cc1cccc2)c1ccncc1)C1=CCOC=C1	
L66J C- DT6OTJ& D- DT6NJ	c12cc(c(cc1cccc2)c1ccncc1)C1CCOCC1	
L66J BG EE C- DT6NJ& D- DT6OTJ	c12c(c(c(c(c1cccc2)Br)C1CCOCC1)c1ccncc1)Cl	
T6-GE- DOTJ A-& AT6-GE-TJ	[Ge]12(CCOCC1)CCCCC2	
T66 COJ EVQ H-& DT6OJ	O1C=C2C(=CC3(C=C2)C=COC=C3)C(=C1)C(=O)O	
T6SXS EXTJ B-& AL5XTJ& E-& AL5XTJ	S1C2(SCC3(C1)CCCC3)CCCC2	
T56 BO-AS-OJ C-& CT56 BO-AS-OJ	O1[As]2(Oc3c1cccc3)Oc1c(O2)cccc1	
T E6 D6 B666 CO NXJ N-& BT56 BXO DHJ	O1c2c3c(ccc2C2(c4c1c1ccccc1cc4)OCc1c2cccc1)cccc3
T5VOXJ C-& AL4XXTJ	C1(=O)OC2(C=C1)C(CC2)(C)C	
T666 1A N AX DMTJ	C123CCNCC1CCCC2CCCC3	
L55 ATJ	C1C2CCC1CC2	
T55 COTJ	O1CC2C(C1)CCC2	
T55 A COTJ	O1C2CC(C1)CC2	
L66 A BTJ	C1CC2CCC1CC2	
T66 A B AMTJ	N1CC2CCC1CC2	
T56 A ANTJ A1 GQ	N1(C2CCC1CC(C2)O)C	
T67 A B AO HOTJ	O1CC2CCC1COC2	
T66 A DM HOTJ	N1CC2CC(C1)COC2	
T66 A B ASTJ	S1CC2CCC1CC2	
